Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Happiness Score
1.357879386464381,-2.2176212947039082,-2.940090585976483,1.5853197626583733,4.976235008327989,3.420000829950724,7.587
1.1206728201622476,-1.943804464894426,-2.9137696075138204,1.3327653629033658,3.0947869361201072,4.147893478879638,7.561
1.178998588030996,-2.1609982304643576,-3.209495035243436,1.4742095525487648,5.274937707426321,3.6737731899809014,7.527
1.5152531875921054,-2.311515404972915,-3.167456932995624,1.6138693904567658,4.694663515875452,3.7040342254563834,7.522
1.1810384788761465,-2.353282658751781,-3.085603774015287,1.3615895063536656,4.496914599704623,4.246882796973115,7.427
1.090275928185745,-2.3749633160603345,-3.151888874932363,1.4214339184695257,4.946321876440082,3.012073441926804,7.406
1.1889713877183985,-2.561748316652424,-3.1369706306551612,1.243479147120413,4.430161266429112,4.326195103767154,7.378
1.1946881188523388,-2.518596075397763,-3.0644642604112664,1.5457208798706998,5.066573463396127,3.786808258662809,7.364
0.9893642909447805,-2.367943634190184,-3.074556755510895,1.4055806395718606,5.022264080846116,4.321447052830347,7.286
1.1993974964825014,-2.419740823067579,-2.980461504449977,1.4869745303624697,4.647594606359742,4.144754653662945,7.284
0.9349420179031718,-2.827502472319588,-3.052336795350323,-0.14673674305273662,2.3177859754923706,3.6207301617503105,7.278
0.24795211216414426,-2.762699531275268,-3.266280010484045,1.3670111904788407,2.6979860126654094,3.1578865160242717,7.226
1.2085895972044758,-2.4796986789621513,-3.1466526955129623,1.3022941255416205,3.512578248048316,3.6160740750494895,7.2
0.41104264442580873,-4.075673637182338,-3.444521567201626,0.3241948577947805,3.7250646355141646,2.250680521025025,7.187
1.3528426189454907,-2.719418092427275,-3.260293581679,0.7649983658454363,3.2649913911237913,3.980679340361829,7.119
0.31207016267961646,-2.7860575566862296,-3.8804865743515764,0.3837647542587332,3.4131436327819413,2.2991543766499474,6.983
1.7794568277954899,-2.847329152295013,-3.031800623101776,1.2439595495112514,4.763680054766444,3.320070126589885,6.946
1.2053912498299808,-2.115138492299936,-3.1269961657561405,1.257273558628771,4.239973202462227,4.250899481670416,6.94
1.1345239308391957,-2.53516509761276,-3.1216232078383377,1.0289451651546104,3.8180876902600565,2.9337736575139237,6.937
1.4353448709049124,-3.262765127283101,-3.4644278491498612,1.4206103715138028,4.804751817111477,3.218602140531248,6.901
1.0301369240101965,-2.536038486461594,-3.0702790626622405,1.1095841379024725,4.445073043131088,4.508074705995636,6.867
1.2662102176205796,-3.4457152690464627,-3.6401562931425078,1.3600110413551962,4.47181096399754,2.8820486741980704,6.853
0.47072833952465765,-2.677615919593018,-3.7956981282064444,-0.03768540033243564,2.756915617815997,1.1984106663010579,6.81
1.6735587907108238,-3.6908092170798263,-2.589652564762353,0.7408409884775663,5.312846675039563,3.5037903084297466,6.798
0.5193079622443536,-2.943740294815079,-3.5126681355540135,0.7379585741325364,2.529179797510916,3.086727137843049,6.786
1.185143444404042,-2.4682817740313787,-3.1408928922586172,1.2366848847357,3.765715959720885,3.3311988291871795,6.75
0.6291598618313486,-3.2681990202268327,-3.2729697189254874,0.04631638915129499,2.9612423088108852,3.6312880368576588,6.67
2.098057557202889,-3.4588381586322594,-3.5099294663201195,1.412580788695505,5.442708245304367,3.5873541625311693,6.611
1.0588716827054647,-2.6566275131483534,-2.9221961375532195,0.7929303334270364,3.6731121031349394,2.0722347396696295,6.575
0.4940737569747134,-2.714144248812046,-3.5482448927010815,0.10410193387784827,2.4203607543612438,1.975521818390429,6.574
0.8100553672722894,-2.9077555662205588,-3.326818946354492,0.19949612291574537,1.2537919883753683,1.887432967048079,6.505
0.5145985846141912,-2.896498626372802,-3.455421505936178,1.1601636467664516,3.9638759953588716,3.004292514851141,6.485
0.15434378782557026,-2.751944486987417,-3.9028226072881496,0.6868986628777196,1.85787914888893,2.6377907656240795,6.477
0.27595653956917376,-2.6344194333947857,-3.7299777148016475,0.8377450136009552,1.4094342924263803,4.734879560749456,6.455
1.3551091643289916,-3.4370948444872886,-3.7966794599471,-0.8516243082385205,4.47181096399754,2.21426529279502,6.411
0.9388203288927174,-2.397167482735213,-2.881715282375154,0.17115238185628373,2.0944329292737383,2.6234715842326395,6.329
0.8816278337157193,-2.455222775212195,-3.159477162533668,1.160369533505382,3.0373149482491097,4.501493924611991,6.302
1.0921143483301403,-3.4687154983243342,-3.206876800987281,-0.25510179664326865,2.369001136143197,3.1498874946530573,6.298
1.755053689166467,-3.0889977238630113,-3.779682744225424,0.8264212429597657,4.036656435895578,2.452013368974546,6.295
0.34757937368779235,-3.871146258628823,-4.189203106555269,1.111780263117734,3.042207161733312,2.519035547074291,6.269
0.8927842737700609,-3.010978125255012,-4.166819625986063,0.852843374455874,0.6494210602827879,3.5461779152566324,6.168
