model,test_r2,test_rmse,cv_score,cv_std,best_params
LinearRegression,0.6486920823058027,0.6612122914856268,0.7987034307433812,0.09189675104506934,{'fit_intercept': True}
Ridge,0.6472711514104326,0.6625481407635443,0.8011152411629866,0.0902910181987568,"{'alpha': 10.0, 'fit_intercept': True}"
Lasso,0.6402039209077383,0.6691525886437818,0.7853897962054575,0.07314085946331073,"{'alpha': 0.1, 'fit_intercept': True}"
RandomForest,0.6726917462494345,0.6382273745105944,0.777055607552989,0.08533740330059585,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 200}"
GradientBoosting,0.6569260284938003,0.6534176092158428,0.737480901452974,0.06967582088613802,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200}"
